Smiles,Standard Value
Brc1c(c2nc(n3CCCc(c23)c1Br)N1CC[NH2+]CC1)C,1
Brc1ccc(cc1)[C@H]1N(CCC1)C(=O)c1cc2c([nH]nc2N)cc1,1
Brc1cnccc1-c1cc([nH]c1)C(=O)N,1
Brc1n(nc2c1CCN([C@H]1COc3c(N(C)C1=O)cccc3)C2=O)Cc1ccccc1,1
Clc1[nH]c(cc1-c1ccncc1)C(=O)N,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1cc2CS(=O)(=O)N(c2cc1)C,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1cc2[nH]nc(N)c2cc1,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1cc2c(n(nc2)C(C)C)cc1,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1cc2c(n(nc2)C)cc1,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1ccc(cc1)-c1cn(nc1)C,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1ccc(cc1)-c1cn(nc1)C(C)C,1
Clc1c(N2CCC3(CC2)CCNC3=O)c(c[nH+]c1N)-c1ccc(cc1)-c1cn(nc1)CC(O)(C)C,1
Clc1c(N2CCC3(NC(=O)NC3=O)CC2)c(c[nH+]c1N)-c1ccc(cc1)-c1cn(nc1)C,1
Clc1c(N2CCC3(OC(=O)NC3)CC2)c(c[nH+]c1N)-c1cc2CS(=O)(=O)N(c2cc1)C,1
Clc1c(N2CCC3(OC(=O)NC3)CC2)c(c[nH+]c1N)-c1cc2c(n(nc2)C)cc1,1
Clc1c(N2CCC3(OC(=O)NC3)CC2)c(c[nH+]c1N)-c1ccc(cc1)-c1cn(nc1)C,1
Clc1c(c[nH]c1C(=O)N)-c1ccncc1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC(CC1)(CC[NH+](C)C)C#N,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(CC1)C(=NNC2=O)C,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(CC1)C(=NNC2=O)C(F)(F)F,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(N=C(NC2=O)C)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(NC(=O)NC2=O)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(OC(=O)NC2(C)C)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2(OC(=O)NC2)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2([NH+](CCC2)C)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2([NH+](CCC2)CCCOC)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2([NH+](CCC2)CCCS(=O)(=O)C)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)N(c3cc2)C)c1N1CCC2([NH+](CCC2)CCOC)CC1,1
Clc1c[nH+]cc(-c2cc3CS(=O)(=O)Nc3cc2)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2cc3N(S(=O)(=O)Cc3cc2)C)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2cc3[nH]nc(N)c3cc2)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2cc3[nH]nc(NC)c3cc2)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2cc3n(nc(N(C)C)c3cc2)C)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2cc3n(nc(N)c3cc2)C)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2(CC1)CCNC2=O,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2(N(C)C(=O)NC2=O)CC1,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2(NC(=O)CNC2=O)CC1,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2(NC(=O)NC2=O)CC1,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2(NC(OC2)=O)CC1,0
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2(OC(=O)NC2)CC1,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2([NH+](CCC2)CCOC)CC1,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2([NH+](CNC2=O)C)CC1,1
Clc1c[nH+]cc(-c2ccc(cc2)-c2cn(nc2)C)c1N1CCC2([NH+](CNC2=O)CC(F)(F)F)CC1,1
